round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.6830845475196838,0.6210101246833801,0.6264203929862272,0.636667958701857,0.6164974835792886,0.6761522153513703,113726,,,,
1,,,,,,,,0.05,0.05,1.0,1.0
1,0.6779367923736572,0.6538698077201843,0.655052753338708,0.6592933622620875,0.6508663474096648,0.7018509477129518,113726,,,,
2,,,,,,,,0.05,0.05,1.4142135623730951,1.0
2,0.6811137199401855,0.606950044631958,0.6083070452155627,0.6108979548734556,0.6057380196153712,0.6430439587317412,113726,,,,
3,,,,,,,,0.05,0.05,1.7320508075688772,1.0
3,0.6918169856071472,0.5449413657188416,0.5626098715348208,0.5838376396709292,0.5428715891112524,0.5673775853303786,113726,,,,
4,,,,,,,,0.05,0.05,2.0,1.0
4,0.687366783618927,0.5474473834037781,0.5861750114578391,0.6388187872415002,0.541547192797397,0.5951095804628073,113726,,,,
5,,,,,,,,0.05,0.05,2.23606797749979,1.0
5,0.693777859210968,0.5476408004760742,0.5468399031050429,0.5431891362172756,0.5505400755573686,0.5613740562442648,113726,,,,
