round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.70799720287323,0.43763959407806396,0.33721954505414786,0.2867415096667313,0.40926699200080496,0.3734608667038206,113726,,,,
1,,,,,,,,0.1,0.001,0.01,0.01
1,0.6596716046333313,0.7211631536483765,0.7655985512067117,0.9117429577464788,0.6598330891253106,0.8502133381835475,113726,,,,
2,,,,,,,,0.1,0.001,0.014142135623730952,0.01
2,0.6588961482048035,0.7267819046974182,0.769727870990692,0.9139739528335094,0.6648061856725895,0.8539159807723323,113726,,,,
3,,,,,,,,0.1,0.001,0.017320508075688773,0.01
3,0.6589184403419495,0.7251112461090088,0.7694202684761765,0.9150541218575112,0.6637778541340562,0.8543072831897076,113726,,,,
4,,,,,,,,0.1,0.001,0.02,0.01
4,0.6587540507316589,0.7271952033042908,0.7697536865384758,0.9139629557830922,0.6648505204861289,0.8559013791339454,113726,,,,
5,,,,,,,,0.1,0.001,0.022360679774997897,0.01
5,0.6589992642402649,0.7280480861663818,0.770713480813712,0.9114820789787473,0.6676085281274081,0.8539006388925906,113726,,,,
6,,,,,,,,0.1,0.001,0.02449489742783178,0.01
6,0.6590559482574463,0.7291472554206848,0.770460896456649,0.9113763376408159,0.6672862453531598,0.8532810061033667,113726,,,,
7,,,,,,,,0.1,0.001,0.026457513110645908,0.01
7,0.6588107347488403,0.7289537787437439,0.7716345263407443,0.9151744134961778,0.6670167529074236,0.8561347593412773,113726,,,,
8,,,,,,,,0.1,0.001,0.028284271247461905,0.01
8,0.6588302254676819,0.7299913763999939,0.7716289481708452,0.9164090515642389,0.6663541077942763,0.8566864752869241,113726,,,,
9,,,,,,,,0.1,0.001,0.03,0.01
9,0.6593837738037109,0.7247419357299805,0.7681940700808626,0.9127221537920113,0.6631805047689672,0.8525901584489548,113726,,,,
10,,,,,,,,0.1,0.001,0.0316227766016838,0.01
10,0.6598918437957764,0.7197826504707336,0.7650129778197262,0.9097509645738338,0.660008142908036,0.8494020789947567,113726,,,,
11,,,,,,,,0.1,0.001,0.033166247903554,0.01
11,0.6596166491508484,0.7192111015319824,0.7643964378730531,0.9111888972929236,0.658338205017411,0.8524304347531942,113726,,,,
12,,,,,,,,0.1,0.001,0.034641016151377546,0.01
12,0.6596764326095581,0.7214357256889343,0.766226866200301,0.9101395414066334,0.6616117850953206,0.8508973829124371,113726,,,,
13,,,,,,,,0.1,0.001,0.03605551275463989,0.01
13,0.6592603921890259,0.7223854064941406,0.7668896469233155,0.9119372058720236,0.6616511657535992,0.8519549471828846,113726,,,,
14,,,,,,,,0.1,0.001,0.03741657386773942,0.01
14,0.6594727039337158,0.715913712978363,0.7622278808931541,0.9106656115360943,0.655398478731348,0.8507181991713297,113726,,,,
15,,,,,,,,0.1,0.001,0.03872983346207417,0.01
