round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.7265291213989258,0.20294392108917236,0.21967218759684584,0.22357538375271604,0.21590293759306892,0.1453695069785303,113726,,,,
1,,,,,,,,0.5,0.05,0.1,0.1
1,0.7105348706245422,0.3974992632865906,0.2594033722438392,0.2118531857422806,0.33447612676645205,0.25874484869669334,113726,,,,
2,,,,,,,,0.5,0.05,0.14142135623730953,0.1
2,0.7156894207000732,0.4071628153324127,0.23636013546421414,0.18398871451243168,0.3304094493175845,0.24663883308689957,113726,,,,
3,,,,,,,,0.5,0.05,0.17320508075688773,0.1
3,0.7175047993659973,0.3561103045940399,0.28939630661141785,0.26309196132401724,0.3215448644685485,0.24739199165154774,113726,,,,
4,,,,,,,,0.5,0.05,0.2,0.1
4,0.7137513756752014,0.45014333724975586,0.22039371158569276,0.15650341725981798,0.37243500610963637,0.28005184660886173,113726,,,,
5,,,,,,,,0.5,0.05,0.223606797749979,0.1
5,0.7019295692443848,0.5095492601394653,0.19739549607885462,0.12038190848939045,0.5479309793896788,0.38882765686143395,113726,,,,
6,,,,,,,,0.5,0.05,0.2449489742783178,0.1
6,0.7091993093490601,0.4939415752887726,0.09657164385281929,0.05403886019465233,0.4535535240342082,0.3594607544249292,113726,,,,
7,,,,,,,,0.5,0.05,0.2645751311064591,0.1
7,0.6908133625984192,0.5644531846046448,0.3226071140407259,0.20809075191418794,0.7174137826166291,0.5726371043812221,113726,,,,
8,,,,,,,,0.5,0.05,0.28284271247461906,0.1
8,0.7213447093963623,0.49147072434425354,0.027706326389939646,0.014432845232256708,0.34491419003767265,0.38509990671812333,113726,,,,
9,,,,,,,,0.5,0.05,0.30000000000000004,0.1
9,0.7344284653663635,0.493880033493042,0.03507066101155052,0.018447971781305115,0.354456116570654,0.3324596342730761,113726,,,,
10,,,,,,,,0.5,0.05,0.316227766016838,0.1
10,0.7207729816436768,0.5018993020057678,0.10863715755849633,0.060639064064503666,0.5211352657004831,0.4284371919374459,113726,,,,
11,,,,,,,,0.5,0.05,0.33166247903554,0.1
11,0.7344068884849548,0.5035611987113953,0.07290879831849978,0.03908794788273615,0.5410675115768949,0.3757109118468377,113726,,,,
12,,,,,,,,0.5,0.05,0.34641016151377546,0.1
12,0.7449869513511658,0.4976258873939514,0.0920460866110449,0.050924053526525875,0.47820343461030385,0.299202026716433,113726,,,,
13,,,,,,,,0.5,0.05,0.36055512754639896,0.1
13,0.7629356980323792,0.4880150556564331,0.07700843320017754,0.042739253602660426,0.3885778275475924,0.24477975322142254,113726,,,,
14,,,,,,,,0.5,0.05,0.37416573867739417,0.1
14,0.7359614372253418,0.47536182403564453,0.07637889131410704,0.04325565900443603,0.3260639703938673,0.2622853726262811,113726,,,,
15,,,,,,,,0.5,0.05,0.3872983346207417,0.1
15,0.7165358066558838,0.45719537138938904,0.2633971720064435,0.1946217598307177,0.40734452851079533,0.37024917840087807,113726,,,,
16,,,,,,,,0.5,0.05,0.4,0.1
16,0.7198173403739929,0.4420712888240814,0.2195160953048698,0.15710336813564096,0.36420408163265305,0.3381783733982265,113726,,,,
17,,,,,,,,0.5,0.05,0.41231056256176607,0.1
17,0.7014115452766418,0.5432706475257874,0.350984606157537,0.24637757429042556,0.6099626509163554,0.48620879262975164,113726,,,,
18,,,,,,,,0.5,0.05,0.4242640687119285,0.1
18,0.7022320032119751,0.5021103620529175,0.45678597810758176,0.4186140563731955,0.5026179115821475,0.45174407729338323,113726,,,,
19,,,,,,,,0.5,0.05,0.43588989435406744,0.1
19,0.7164948582649231,0.45589399337768555,0.29976575495931834,0.23166529655606669,0.4245736632901654,0.36463421922581585,113726,,,,
20,,,,,,,,0.5,0.05,0.447213595499958,0.1
20,0.7223882675170898,0.4903627932071686,0.27973505325032,0.19741111676284356,0.4798345839017735,0.35623718821993483,113726,,,,
21,,,,,,,,0.5,0.05,0.458257569495584,0.1
21,0.726020097732544,0.4767071604728699,0.1936917407327119,0.12641259174109118,0.4140647627874645,0.3505561791196127,113726,,,,
22,,,,,,,,0.5,0.05,0.469041575982343,0.1
22,0.7354904413223267,0.49351072311401367,0.21054507078930418,0.13554386955601044,0.47137158637618903,0.3584832356502219,113726,,,,
23,,,,,,,,0.5,0.05,0.4795831523312719,0.1
23,0.7269677519798279,0.4907057285308838,0.17287864507468653,0.10639083207368089,0.4609351203167834,0.37393675582849545,113726,,,,
24,,,,,,,,0.5,0.05,0.4898979485566356,0.1
24,0.7380431294441223,0.45000264048576355,0.3129277107110296,0.2511327773761879,0.41505915263127224,0.33512001031151295,113726,,,,
25,,,,,,,,0.5,0.05,0.5,0.1
25,0.7448209524154663,0.41801348328590393,0.34327217883968525,0.304210193099082,0.3938434917237768,0.32397046953382796,113726,,,,
26,,,,,,,,0.5,0.05,0.5099019513592785,0.1
26,0.7624437808990479,0.439591646194458,0.2199620586255431,0.1580706445257529,0.36150782475761356,0.2986760615823042,113726,,,,
27,,,,,,,,0.5,0.05,0.5196152422706632,0.1
27,0.7508468627929688,0.41492709517478943,0.23500195451723424,0.1793706232339365,0.34065531148961703,0.28541886955419005,113726,,,,
28,,,,,,,,0.5,0.05,0.5291502622129182,0.1
28,0.7385213375091553,0.39150238037109375,0.2901630936506308,0.24796633941093968,0.3496662546353523,0.2964959726346643,113726,,,,
29,,,,,,,,0.5,0.05,0.5385164807134504,0.1
29,0.7612969279289246,0.33536747097969055,0.23345435369044482,0.20295528283255748,0.27474101303289256,0.2153786321587257,113726,,,,
30,,,,,,,,0.5,0.05,0.5477225575051662,0.1
30,0.777060329914093,0.32661837339401245,0.2055665632747907,0.17455032327396366,0.24998738456880457,0.20037826952799098,113726,,,,
31,,,,,,,,0.5,0.05,0.5567764362830022,0.1
31,0.759011447429657,0.3221866488456726,0.3647974949528243,0.39070498111342533,0.34211217755521556,0.272311623967467,113726,,,,
32,,,,,,,,0.5,0.05,0.5656854249492381,0.1
32,0.7611055970191956,0.3345233201980591,0.41074153664081725,0.4626975634571193,0.36927578434529396,0.28851556528431127,113726,,,,
33,,,,,,,,0.5,0.05,0.5744562646538028,0.1
33,0.778396725654602,0.2860119938850403,0.38832684238675996,0.4531230771935376,0.33974375873250207,0.2515447458341031,113726,,,,
34,,,,,,,,0.5,0.05,0.5830951894845301,0.1
34,0.7785980701446533,0.31469497084617615,0.43044746015390345,0.5181933349755428,0.3681144928441972,0.2784365361685627,113726,,,,
35,,,,,,,,0.5,0.05,0.5916079783099616,0.1
35,0.81097012758255,0.31518739461898804,0.4474918238636767,0.5550197976242851,0.37486628473625405,0.2493633809056356,113726,,,,
36,,,,,,,,0.5,0.05,0.6000000000000001,0.1
36,0.7880185842514038,0.3330109119415283,0.463876284579393,0.5760528024996928,0.3882677267833268,0.2791111207179532,113726,,,,
37,,,,,,,,0.5,0.05,0.608276253029822,0.1
37,0.7853289246559143,0.3469039499759674,0.47506572809770165,0.5926363492091481,0.3964213679951876,0.3053003053696791,113726,,,,
38,,,,,,,,0.5,0.05,0.6164414002968976,0.1
38,0.7919319272041321,0.38295552134513855,0.5385657360038927,0.7189228095430367,0.4305524890921516,0.29367326912783676,113726,,,,
39,,,,,,,,0.5,0.05,0.6244997998398398,0.1
39,0.7878910899162292,0.36788421869277954,0.5084312304262797,0.652045039988775,0.41666106291888017,0.3212130728533338,113726,,,,
40,,,,,,,,0.5,0.05,0.632455532033676,0.1
40,0.7545560598373413,0.4106009304523468,0.5636408613910372,0.7560558165528564,0.4492958185007213,0.41805456289366477,113726,,,,
41,,,,,,,,0.5,0.05,0.6403124237432849,0.1
41,0.7595481872558594,0.4166945219039917,0.5775278465937678,0.7971799289707796,0.4527725352745574,0.4202743124484363,113726,,,,
42,,,,,,,,0.5,0.05,0.6480740698407861,0.1
42,0.7394246459007263,0.43034133315086365,0.5519988382465821,0.7015027682573161,0.4550242834667214,0.4712506009676821,113726,,,,
43,,,,,,,,0.5,0.05,0.6557438524302001,0.1
43,0.7526509761810303,0.40460404753685,0.5173357664233577,0.6398081703898302,0.43421761137236603,0.4348735306013587,113726,,,,
44,,,,,,,,0.5,0.05,0.66332495807108,0.1
44,0.770344078540802,0.3807660639286041,0.527885227767908,0.6914592809849137,0.42689697048554637,0.406049492203194,113726,,,,
45,,,,,,,,0.5,0.05,0.670820393249937,0.1
45,0.7557703256607056,0.391484797000885,0.5277337992029262,0.6800450244468677,0.43116483418452684,0.44060512933437984,113726,,,,
46,,,,,,,,0.5,0.05,0.6782329983125268,0.1
46,0.7820056676864624,0.3761848509311676,0.5377337590408549,0.7250188884789064,0.42734343444804623,0.40319360995488923,113726,,,,
47,,,,,,,,0.5,0.05,0.6855654600401044,0.1
47,0.7910678386688232,0.38090673089027405,0.5391096011468747,0.7224717524036774,0.4299810999613646,0.3882957369839394,113726,,,,
48,,,,,,,,0.5,0.05,0.6928203230275509,0.1
48,0.8077070116996765,0.36988022923469543,0.5234957343954677,0.6923455747854228,0.4208568098959725,0.36488607078679686,113726,,,,
49,,,,,,,,0.5,0.05,0.7000000000000001,0.1
49,0.8149909973144531,0.3504563570022583,0.4964690805976661,0.6399838321353883,0.40553000523379473,0.34673535725152527,113726,,,,
50,,,,,,,,0.5,0.05,0.7071067811865476,0.1
50,0.8086077570915222,0.3789898455142975,0.536626972410852,0.7183383102055155,0.42828716552338064,0.3611629054636012,113726,,,,
