round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.7034583687782288,0.47312840819358826,0.42403852623686716,0.38806101444430763,0.46736873331355683,0.4265059707071033,113726.0,,,,
1,,,,,,,,1.3713058865009844,7.917238227126617,5.773502691896257,5.773502691896257
1,2802.822509765625,0.3599792420864105,0.2826676127684317,0.2514641416798176,0.32271203222394745,0.35819392179104315,113726.0,,,,
2,,,,,,,,1.2991771036171045,7.500802504983335,8.16496580927726,5.773502691896257
2,7659.64501953125,0.47364717721939087,0.17210666076565612,0.10948442723913426,0.40209383481969757,0.4733845894362184,113726.0,,,,
3,,,,,,,,1.2030329189268667,6.9457137958640764,9.999999999999998,5.773502691896257
3,21406.486328125,0.3562510013580322,0.24847819169138857,0.2136150234741784,0.2969405530066979,0.35560724560293333,113726.0,,,,
4,,,,,,,,0.8598484164246587,4.964337146850501,11.547005383792515,5.773502691896257
4,21799.787109375,0.3809770941734314,0.2897383899835548,0.25235500878734624,0.3401236468721131,0.3805870063562206,113726.0,,,,
5,,,,,,,,1.0028785497621684,5.790122006696894,12.909944487358056,5.773502691896257
5,19106.5,0.510147213935852,0.3720311566512236,0.28891573436980234,0.5222813014305608,0.511522992842279,113726.0,,,,
